# z[m]=zi*speed_c*beta    Wtr/Z_0/L[1/(m^2*s]          Wz_l/Z_0/L[1/(ms)]                     
       0.236236               -6729680             -12301.2      
       0.2408               -6513230               -10848.5      
       0.245409               -6328640             -9151.41      
       0.250061               -6180720             -7281.26      
       0.254757               -6072700             -5317.79      
       0.259496               -6006130             -3345.81      
       0.26428               -5980670              -1451.45      
       0.269106               -5994110              281.893      
       0.273977               -6042410              1777.64      
       0.278891               -6119850              2969.93      
       0.283849               -6219250              3807.23      
       0.288851               -6332320               4255.3      
       0.293896               -6450060              4299.42      
       0.298985               -6563200               3945.7      
       0.304118               -6662680              3221.28      
       0.309294               -6740190               2173.4      
       0.314514               -6788610              867.329      
       0.319778               -6802470             -616.871      
       0.325085               -6778260             -2188.52      
       0.330436               -6714740             -3751.35      
       0.335831               -6613030                -5209      
       0.341269               -6476600             -6470.87      
       0.346752               -6311130             -7457.71      
       0.352277               -6124190             -8106.85      
       0.357847               -5924810             -8376.53      
       0.36346               -5722950              -8249.04      
       0.369117               -5528820             -7732.46      
       0.374817               -5352270              -6860.7      
       0.380562               -5202060              -5691.8      
       0.386349               -5085290             -4304.53      
       0.392181               -5006810              -2793.4      
       0.398056               -4968870             -1262.37      
       0.403975               -4970870              182.372      
       0.409938               -5009380              1440.06      
       0.415944               -5078290              2422.85      
       0.421994               -5169210               3062.7      
       0.428088               -5272100              3316.89      
       0.434225               -5375950               3171.9      
       0.440406               -5469660              2645.06      
       0.446631               -5542890              1783.84      
       0.452899               -5586940              662.666      
       0.459211               -5595440             -622.539      
       0.465567               -5564980             -1961.84      
       0.471967               -5495400             -3240.16      
       0.47841               -5389910              -4346.93      
       0.484897               -5254890             -5185.69      
       0.491427               -5099320             -5682.71      
       0.498001               -4934140             -5793.99      
       0.504619               -4771230             -5509.75      
       0.511281               -4622380             -4856.01      
       0.517986               -4498220             -3892.85      
       0.524735               -4407160             -2709.52      
       0.531527               -4354590             -1416.59      
       0.538364               -4342310             -135.782      
       0.545244               -4368250              1011.58      
       0.552167               -4426640              1916.43      
       0.559134               -4508490              2493.03      
       0.566145               -4602450              2687.99      
       0.5732               -4695890                 2486.3      
       0.580298               -4776210              1913.58      
       0.587441               -4832150              1034.13      
       0.594626               -4854990             -55.1081      
       0.601856               -4839530             -1234.35      
       0.609129               -4784720             -2373.49      
       0.616446               -4693830             -3346.12      
       0.623806               -4574210             -4043.62      
       0.63121               -4436470              -4387.59      
       0.638658               -4293400             -4339.28      
       0.646149               -4158470              -3904.7      
       0.653685               -4044340             -3134.72      
