# z[m]                Wz_trx/Z_0/L[1/(m^2*s]           Wz_try/Z_0/L[1/(m^2*s]       Wz_l/Z_0/L[1/(ms)]
         175.325              -2.31911e+07                -2.95698e+06                               0
         176.352              -2.30799e+07                -3.03709e+06                               0
         177.381              -2.29453e+07                -3.06722e+06                               0
         178.414              -2.26598e+07                -2.79272e+06                               0
          179.45              -2.26921e+07                -3.15108e+06                               0
         180.489              -2.25641e+07                -3.18581e+06                               0
          181.53              -2.22293e+07                -2.80396e+06                               0
         182.575              -2.22651e+07                -3.16082e+06                               0
         183.623              -2.20793e+07                -3.07164e+06                               0
         184.674              -2.19331e+07                -3.05912e+06                               0
         185.728              -2.16492e+07                -2.76811e+06                               0
         186.784               -2.1444e+07                -2.63215e+06                               0
         187.844              -2.14389e+07                -2.89397e+06                               0
         188.907              -2.11789e+07                -2.64309e+06                               0
         189.973              -2.11194e+07                -2.79079e+06                               0
         191.041              -2.08581e+07                -2.53232e+06                               0
         192.113              -2.09312e+07                -2.94035e+06                               0
         193.188              -2.07234e+07                -2.78396e+06                               0
         194.266              -2.06533e+07                -2.90047e+06                               0
         195.346              -2.02903e+07                 -2.4287e+06                               0
          196.43              -2.02139e+07                -2.52811e+06                               0
         197.517              -2.00198e+07                -2.38946e+06                               0
         198.607              -2.01038e+07                -2.80513e+06                               0
         199.699              -1.98798e+07                -2.60208e+06                               0
         200.795               -1.9823e+07                -2.73151e+06                               0
         201.894              -1.95267e+07                -2.37931e+06                               0
         202.996              -1.95317e+07                -2.62789e+06                               0
           204.1              -1.93311e+07                -2.46295e+06                               0
         205.208              -1.91874e+07                -2.40968e+06                               0
         206.319              -1.89862e+07                -2.23905e+06                               0
         207.433              -1.88679e+07                -2.23247e+06                               0
         208.549              -1.89466e+07                -2.61776e+06                               0
         209.669                 -1.87e+07                -2.35015e+06                               0
         210.792               -1.8623e+07                -2.41992e+06                               0
         211.917              -1.85224e+07                -2.44055e+06                               0
         213.046              -1.84435e+07                -2.50244e+06                               0
         214.178              -1.83386e+07                -2.51054e+06                               0
         215.313              -1.80825e+07                 -2.2141e+06                               0
          216.45                -1.811e+07                -2.48303e+06                               0
         217.591               -1.7992e+07                -2.45914e+06                               0
         218.735              -1.77035e+07                -2.09221e+06                               0
         219.881              -1.77593e+07                -2.41226e+06                               0
         221.031              -1.76467e+07                -2.39351e+06                               0
         222.184              -1.73677e+07                -2.03992e+06                               0
          223.34              -1.74294e+07                -2.36642e+06                               0
         224.498              -1.73231e+07                -2.35487e+06                               0
          225.66              -1.70708e+07                -2.04954e+06                               0
         226.825              -1.71063e+07                -2.31831e+06                               0
         227.992              -1.69907e+07                -2.28318e+06                               0
         229.163              -1.68281e+07                -2.15212e+06                               0
         230.337               -1.6734e+07                -2.15645e+06                               0
         231.513               -1.6593e+07                -2.06531e+06                               0
         232.693              -1.65855e+07                 -2.2397e+06                               0
         233.876              -1.63131e+07                -1.88237e+06                               0
         235.061              -1.61963e+07                -1.83502e+06                               0
