 # z[m]                Wz_trx/Z_0/L[1/(m^2*s]           Wz_try/Z_0/L[1/(m^2*s]       Wz_l/Z_0/L[1/(ms)]
         130.447                -1.9937e+07             -3.28953e+06             0
         131.333               -1.91791e+07             -2.06427e+06             0
         132.222               -2.06759e+07             -5.34756e+06             0
         133.114               -1.94131e+07             -3.10524e+06             0
         134.009               -1.84284e+07             -1.41652e+06             0
         134.907               -1.94002e+07             -3.63986e+06             0
         135.808               -2.00389e+07             -5.19353e+06             0
         136.712               -1.94555e+07             -4.29858e+06             0
         137.618               -1.84933e+07             -2.64249e+06             0
         138.528               -1.78358e+07             -1.59336e+06             0
         139.441               -1.75346e+07             -1.25417e+06             0
         140.357               -1.73948e+07             -1.23524e+06             0
         141.276                -1.7266e+07             -1.23548e+06             0
         142.198               -1.71135e+07             -1.18557e+06             0
         143.123                -1.7019e+07             -1.24903e+06             0
          144.05               -1.71591e+07             -1.77907e+06             0
         144.981               -1.76616e+07             -3.03177e+06             0
         145.915               -1.82508e+07             -4.45542e+06             0
         146.852               -1.80922e+07             -4.37987e+06             0
         147.792               -1.68662e+07             -2.16575e+06             0
         148.735               -1.62733e+07             -1.21594e+06             0
         149.681               -1.74714e+07             -3.84795e+06             0
         150.629               -1.72701e+07              -3.6771e+06             0
         151.581               -1.58318e+07              -1.0281e+06             0
         152.536                 -1.726e+07             -4.11317e+06             0
         153.494               -1.61308e+07             -2.07809e+06             0
         154.455               -1.63603e+07              -2.7597e+06             0
         155.419               -1.62762e+07             -2.81145e+06             0
         156.385               -1.60693e+07             -2.61521e+06             0
         157.355                 -1.574e+07             -2.17191e+06             0
         158.328               -1.64106e+07             -3.72708e+06             0
         159.304               -1.49031e+07                  -921497             0
         160.283               -1.62044e+07              -3.7346e+06             0
         161.265               -1.57276e+07             -2.98737e+06             0
         162.249               -1.45663e+07                  -868233             0
         163.237               -1.52997e+07             -2.53867e+06             0
         164.228               -1.59555e+07             -4.05172e+06             0
         165.222               -1.53923e+07             -3.12324e+06             0
         166.219               -1.45076e+07             -1.54957e+06             0
         167.218               -1.40524e+07                  -833334             0
         168.221               -1.40056e+07                  -932535             0
         169.227               -1.40875e+07             -1.28731e+06             0
         170.236               -1.41096e+07             -1.52055e+06             0
         171.248               -1.40049e+07             -1.49823e+06             0
         172.262               -1.37772e+07             -1.22765e+06             0
          173.28               -1.35001e+07                  -856618             0
         174.301               -1.33627e+07                  -763373             0
         175.325               -1.36243e+07             -1.46676e+06             0
         176.352               -1.42645e+07             -2.92617e+06             0
         177.381               -1.45396e+07             -3.65307e+06             0
         178.414               -1.36835e+07              -2.1146e+06             0
          179.45               -1.28815e+07                  -682681             0
         180.489               -1.37923e+07             -2.67674e+06             0
          181.53               -1.38952e+07             -3.05244e+06             0
         182.575               -1.26081e+07                  -644929             0
         183.623               -1.37905e+07             -3.17765e+06             0
         184.674               -1.28693e+07             -1.49915e+06             0
         185.728                 -1.315e+07             -2.22413e+06             0
         186.784               -1.29213e+07             -1.92837e+06             0
         187.844               -1.30232e+07             -2.29246e+06             0
         188.907               -1.24255e+07             -1.25535e+06             0
         189.973               -1.33242e+07             -3.21103e+06             0
         191.041               -1.19552e+07                  -627224             0
         192.113               -1.27537e+07             -2.37968e+06             0
         193.188               -1.29564e+07             -2.93811e+06             0
         194.266               -1.18181e+07                  -811718             0
         195.346               -1.18792e+07             -1.08428e+06             0
          196.43               -1.26454e+07             -2.76622e+06             0
         197.517               -1.27548e+07             -3.13247e+06             0
         198.607               -1.22379e+07             -2.24419e+06             0
         199.699               -1.16747e+07             -1.26174e+06             0
         200.795               -1.13305e+07                  -716265             0
         201.894               -1.11663e+07                  -529738             0
         202.996               -1.10767e+07                  -491173             0
           204.1               -1.10099e+07                  -497006             0
         205.208               -1.09924e+07                  -600376             0
         206.319               -1.11153e+07                  -983213             0
         207.433               -1.14519e+07             -1.79268e+06             0
         208.549               -1.18569e+07             -2.73763e+06             0
         209.669               -1.18349e+07             -2.82701e+06             0
         210.792                -1.1079e+07             -1.44642e+06             0
         211.917                -1.0509e+07                  -436657             0
         213.046               -1.12176e+07             -1.98448e+06             0
         214.178               -1.14907e+07             -2.65989e+06             0
         215.313               -1.03534e+07                  -511408             0
          216.45               -1.10466e+07               -2.025e+06             0
         217.591               -1.09414e+07             -1.93978e+06             0
         218.735               -1.03257e+07                  -831862             0
         219.881               -1.11059e+07             -2.51628e+06             0
         221.031               -1.01094e+07                  -644057             0
         222.184               -1.08806e+07             -2.30855e+06             0
          223.34               -1.02817e+07             -1.22986e+06             0
         224.498               -1.01764e+07             -1.13812e+06             0
          225.66               -1.08473e+07             -2.59856e+06             0
         226.825               -9.77146e+06                  -562421             0
         227.992               -1.00235e+07             -1.18263e+06             0
         229.163               -1.06893e+07             -2.62994e+06             0
         230.337               -1.01757e+07             -1.71597e+06             0
         231.513               -9.48932e+06                  -455338             0
         232.693               -9.46759e+06                  -523834             0
         233.876               -9.83038e+06             -1.36085e+06             0
         235.061               -1.01329e+07             -2.07636e+06             0
          236.25               -1.02464e+07              -2.4125e+06             0
         237.442               -1.02359e+07             -2.49983e+06             0
         238.636               -1.01809e+07             -2.49706e+06             0
         239.834               -1.01042e+07                -2.45e+06             0
         241.035                -9.9632e+06             -2.27333e+06             0
         242.238               -9.67506e+06             -1.80136e+06             0
         243.445                -9.2197e+06                  -993857             0
         244.655               -8.82622e+06                  -309326             0
         245.867               -8.95157e+06                  -662203             0
         247.083               -9.57176e+06             -2.00456e+06             0
         248.302               -9.59238e+06             -2.14625e+06             0
         249.523               -8.71529e+06                  -490577             0
         250.748               -8.92709e+06             -1.01313e+06             0
         251.976               -9.51169e+06             -2.28101e+06             0
         253.206               -8.48697e+06                  -327483             0
          254.44               -9.20723e+06             -1.86518e+06             0
         255.677               -8.72396e+06                  -993677             0
         256.916               -8.87148e+06             -1.38363e+06             0
         258.159                -8.6575e+06              -1.0495e+06             0
         259.405                -8.9321e+06             -1.69224e+06             0
         260.653               -8.24457e+06                  -408915             0
         261.905               -9.10688e+06             -2.22632e+06             0
         263.159               -8.25618e+06                  -614919             0
         264.417               -8.28429e+06                  -761533             0
         265.678               -8.94398e+06             -2.17129e+06             0
         266.941               -8.46081e+06             -1.29322e+06             0
         268.208               -7.88063e+06                  -220360             0
         269.478               -8.04061e+06                  -628003             0
          270.75                -8.4723e+06             -1.57871e+06             0
         272.026               -8.67882e+06             -2.07807e+06             0
         273.304               -8.62881e+06              -2.0634e+06             0
         274.586               -8.48264e+06             -1.85565e+06             0
         275.871               -8.36181e+06             -1.69793e+06             0
         277.158               -8.31373e+06             -1.68515e+06             0
         278.449               -8.33799e+06             -1.81649e+06             0
         279.742               -8.38795e+06             -1.99863e+06             0
         281.039               -8.34753e+06             -1.99925e+06             0
         282.339               -8.06445e+06             -1.51365e+06             0
         283.641               -7.56514e+06                  -594674             0
         284.947               -7.31145e+06                  -166607             0
         286.255                -7.7519e+06             -1.12704e+06             0
